State,totalRegistered,Pop,registeredPerc,asOf,DemPercentage,RepubPercentage
Alabama,3708804,4908620,0.7556,11/4/2020,0.35,0.52
Alaska,597319,734002,0.8138,11/3/2020,0.13,0.24
Arizona,4281152,7378490,0.5802,11/4/2020,0.33,0.35
Arkansas,1755775,3039000,0.5777,6/3/2020,0.35,0.48
California,22047448,39937500,0.552,10/19/2020,0.45,0.24
Colorado,4238513,5845530,0.7251,11/1/2020,0.3,0.28
Connecticut,2375537,3563080,0.6667,10/29/2019,0.37,0.21
Delaware,738563,982895,0.7514,11/1/2020,0.48,0.28
Florida,14065627,21993000,0.6396,8/31/2020,0.37,0.35
Georgia,7233584,10736100,0.6738,11/1/2020,0.43,0.42
Hawaii,830000,1412690,0.5875,10/29/2020,0.54,0.29
Idaho,1010984,1826160,0.5536,11/2/2020,0.14,0.54
Illinois,8036534,12659700,0.6348,3/17/2020,0.5,0.34
Indiana,4585024,6745350,0.6797,6/2/2020,0.38,0.46
Iowa,2245096,3179850,0.706,11/2/2020,0.32,0.32
Kansas,1851397,2910360,0.6361,7/1/2020,0.25,0.44
Kentucky,3565428,4499690,0.7924,10/10/2020,0.48,0.43
Louisiana,3091340,4645180,0.6655,11/1/2020,0.42,0.32
Maine,1063383,1345790,0.7902,8/3/2020,0.33,0.27
Maryland,4141498,6083120,0.6808,10/13/2020,0.55,0.25
Massachusetts,4812909,6976600,0.6899,10/24/2020,0.33,0.1
Michigan,8127040,10045000,0.8091,11/3/2020,0.45,0.39
Minnesota,3588563,5700670,0.6295,11/2/2020,0.46,0.38
Mississippi,1985928,2989260,0.6644,11/3/2020,0.36,0.48
Missouri,4213092,6169270,0.6829,11/1/2018,0.38,0.47
Montana,696292,1086760,0.6407,3/1/2020,0.39,0.46
Nebraska,1252089,1952570,0.6413,10/1/2020,0.3,0.48
Nevada,1821356,3139660,0.5801,11/2/2020,0.39,0.33
New Hampshire,998537,1371250,0.7282,10/21/2020,0.32,0.3
New Jersey,6486299,8936570,0.7258,11/2/2020,0.38,0.22
New Mexico,1350181,2096640,0.644,10/30/2020,0.46,0.3
New York,13555547,19440500,0.6973,11/1/2020,0.51,0.22
North Carolina,7361219,10611900,0.6937,11/3/2020,0.36,0.3
North Dakota,581379,761723,0.7632,3/1/2020,0.3,0.55
Ohio,7774767,11747700,0.6618,3/17/2020,0.41,0.45
Oklahoma,2259113,3954820,0.5712,11/1/2020,0.35,0.48
Oregon,2924292,4301090,0.6799,10/7/2020,0.35,0.25
Pennsylvania,9091371,12820900,0.7091,11/2/2020,0.48,0.38
Rhode Island,809821,1056160,0.7668,11/3/2020,0.36,0.11
South Carolina,3513225,5210100,0.6743,11/3/2020,0.37,0.47
South Dakota,578666,903027,0.6408,11/3/2020,0.28,0.48
Tennessee,3931248,6897580,0.5699,6/1/2020,0.35,0.48
Texas,16211198,29472300,0.55,3/1/2020,0.39,0.42
Utah,1857861,3282120,0.5661,11/3/2020,0.15,0.51
Vermont,495267,628061,0.7886,9/1/2020,0.55,0.3
Virginia,5975696,8626210,0.6927,11/1/2020,0.46,0.39
Washington,4861482,7797100,0.6235,10/27/2020,0.5,0.35
West Virginia,1268460,1778070,0.7134,10/13/2020,0.39,0.34
Wisconsin,3684726,5851750,0.6297,11/1/2020,0.43,0.43
Wyoming,268837,567025,0.4741,11/3/2020,0.18,0.7
